stage,cve_id,before_bytes,after_bytes,reduction_rate,source_prompt
judge_blind,CVE-2020-27814,3107,3199,-0.029611,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-27814\judge_blind_input_packet.json
judge_blind,CVE-2020-27823,3470,3588,-0.034006,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-27823\judge_blind_input_packet.json
judge_blind,CVE-2020-8169,12872,13672,-0.06215,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_blind_input_packet.json
judge_blind,CVE-2020-8177,7428,8474,-0.140819,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8177\judge_blind_input_packet.json
judge_blind,CVE-2020-8231,6655,6442,0.032006,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8231\judge_blind_input_packet.json
judge_blind,CVE-2021-23840,8372,5581,0.333373,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2021-23840\judge_blind_input_packet.json
judge_blind,CVE-2022-0171,5705,5967,-0.045925,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0171\judge_blind_input_packet.json
judge_blind,CVE-2022-0185,2474,2685,-0.085287,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0185\judge_blind_input_packet.json
judge_blind,CVE-2022-0264,2437,2560,-0.050472,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0264\judge_blind_input_packet.json
judge_blind,CVE-2022-0286,4626,4886,-0.056204,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0286\judge_blind_input_packet.json
judge_blind,CVE-2022-0322,2774,3056,-0.101658,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0322\judge_blind_input_packet.json
judge_blind,CVE-2022-0433,10952,11249,-0.027118,E:\AI\Agent\workflow\VulnGraph\runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2022-0433\judge_blind_input_packet.json
