field_path,occurrences,approx_bytes,file_count,classification,example_files
git_observations[].snippet,194,186892,30,keep_in_model_view,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
candidates[].predicted_release_tags_from_version_probe,141,185210,60,keep_in_model_view,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_blind_input_packet.json
CVE-2020-15466,2,184888,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
results[].ingestion_result.details.structural_validation.observation_payloads[].snippet,191,184369,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.observation_payloads[].snippet,191,184369,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json
observation_payloads[].snippet,191,184369,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json
CVE-2020-11647.diagnostic_all_tags,2,174295,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
results[].ingestion_result.details.structural_validation.packet_index.functions,29,174168,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.functions,29,174168,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.functions,29,174168,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
line_records,40,172620,40,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11984/blame_trace.json | szz10:CVE-2020-13164/blame_trace.json
candidates[].line_text_sha256,2379,157014,77,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
