cve_id,anchor_id,candidate_id,root_cause_binding_correct,parent_line_exists,line_role_correct,minimal_anchor,blame_worthy,context_only_noise,fix_family_covered,notes
CVE-2020-15389,pre-fix-anchor:e5598e7b67e4f7cc0c2a02caa977045982d35ddbd343308d6813a4673424864e,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,,,,,,,,
CVE-2020-15389,pre-fix-anchor:75608c1b29f96ef27a93ef9ccc992ca301237cd16e9d47df065724cedd6f2c2f,pre-fix-line:c6fbd71247569a8f1e42e0cd70e9b25e52011be7e3df19c2790a39eef629457f,,,,,,,,
CVE-2020-15389,pre-fix-anchor:b7780c669ce7c08345a45dbbea2cb7922dc5421641e2a2fc226814206b2d3c39,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,,,,,,,,
CVE-2020-15389,pre-fix-anchor:e9e96c734b466f45e9ffe33c3f153fdcb1960f7155c61a177c59820afc97ecb4,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,,,,,,,,
CVE-2020-15389,pre-fix-anchor:791121213d88471643ea19cf78ac7750a7d9e5c5f6d2c3d0cdd71e988857e4f6,pre-fix-line:53e9cfff9a773d50f382c40d446378f1fe4f28e0e137712b05af2abc6eca5599,,,,,,,,
CVE-2020-1967,pre-fix-anchor:90c254f00431b709c306f2e1835fdb0e298de561d6c02dbebd45f731f30daa96,pre-fix-line:e5ecd537cb332ded9cf6af2e2da76689c6d7230c05b896ee3dd7ad5d25ee50af,,,,,,,,
CVE-2020-11869,pre-fix-anchor:2ec99aa2228a0dd0f13284c406da59c9b6155df9a0de7268b0bf505a2155f9d6,pre-fix-line:6b2c18eb92f617badf1106883d8efb9f566217ffbb24ba84a7f0871d3e2dd537,,,,,,,,
CVE-2020-11869,pre-fix-anchor:67563c636f65de863629e3dec1bd29104c749de8b2b67bb3dc2cfc6df3ac325d,pre-fix-line:5fd1fd3d1682a5e440f8fd81c8b055b726324cf9a9ccd8c818dd7f70edc60007,,,,,,,,
CVE-2020-11869,pre-fix-anchor:cc366dccdee9af2d0f23f15595e24478d203f37e9bef7694b184cdc6b850a616,pre-fix-line:c8401b17cc72da4caf175cef6f301f6be4475f2929df123abe8642f843e50966,,,,,,,,
CVE-2020-11869,pre-fix-anchor:7e8ec2648af8d83a164b6f0581f62ccba5a825748eee456a380a5396330baba8,pre-fix-line:3cc43ea2fa12105f870537e3bfd39ec7aa4a0408b1a24e7725590b24ec76ebf5,,,,,,,,
CVE-2020-13164,pre-fix-anchor:009b1383158f2463bc1edd530762d321288f967ac8192b5db637241b22d8d64a,pre-fix-line:f3a7dba184c0dac915bd0d6464ac70e5a34d7b8141277682ad010849855faa1c,,,,,,,,
CVE-2020-13164,pre-fix-anchor:f084245d010b2e0ad5d093a5e2f2bb027b65b0c576be3a7332dacd1fde9c62fb,pre-fix-line:d604184189c6253894be94d306986a7ffb1ef262e985c7943e13087e0f8380d4,,,,,,,,
CVE-2020-13164,pre-fix-anchor:b151b7f8526e6270521599641c42c3596f2ed3024a122a583fccb78bae1c6784,pre-fix-line:1bab2ed514c9ecf7c49d4a12e9e85aa5041f7fb63162f0f1f1292b9592711824,,,,,,,,
