cve_id,repo_id,candidate_id,source_lane,side,revision_sha,original_line_hint,selected_path,relocated_line_start,relocation_status,match_kind,relation_to_anchor,evidence_ref_count,candidate_match_count,ambiguity_reason,failure_reason
CVE-2020-15389,openjpeg,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,strong,candidate,028088f5f077b6cc666f8152736398df68ec239b,1322,applications/codec/j2k_to_image.c,582,found,normalized_unique,introduced_in_candidate,1,1,,
CVE-2020-15389,openjpeg,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,strong,parent,195190b6121e53ee754132adc073409433482fde,1319,applications/codec/j2k_to_image.c,576,found,context_fingerprint,structurally_changed,1,1,,
CVE-2020-15389,openjpeg,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,strong,candidate,27e255fa75b7b9e989de3ec379c9de2b7462983b,,,,ambiguous,unavailable,unknown,0,1,normalized_match_lacks_context_support,
CVE-2020-15466,wireshark,pre-fix-line:075d41e59f9ffab0041bcbb00e782d362b23312935c4c9d9d831f7ff15768d28,fallback,parent,662e4bd55603530e8542bf25ccde79a5f7750e27,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2020-15466,wireshark,pre-fix-line:075d41e59f9ffab0041bcbb00e782d362b23312935c4c9d9d831f7ff15768d28,fallback,candidate,babe895d3a0d16346c500e397661c3fc580ee7e6,2035,epan/dissectors/packet-gvcp.c,1707,found,exact_hash,introduced_in_candidate,1,1,,
CVE-2020-15466,wireshark,pre-fix-line:052466e16eaa6922c3ddcaa51b3b9d824fd1ea6a1ec086d6bf79d93c78a4e366,fallback,parent,74936320a43c18a2ad538c8235e410f4912f6e4c,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2020-15466,wireshark,pre-fix-line:052466e16eaa6922c3ddcaa51b3b9d824fd1ea6a1ec086d6bf79d93c78a4e366,fallback,candidate,e7e4dc5d98869f91af3e649324d726217b2a8861,2020,epan/dissectors/packet-gvcp.c,1821,found,normalized_unique,introduced_in_candidate,1,1,,
CVE-2020-8231,curl,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,strong,parent,ca5f4e21357a0b4a55e7a2a0f71e632442723989,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2020-8231,curl,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,strong,candidate,d021f2e8a0067fc769652f27afec9024c0d02b3d,1397,lib/connect.c,1135,found,exact_hash,introduced_in_candidate,1,1,,
CVE-2020-8231,curl,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,strong,parent,85f0133ea14f411b4dae9c6239c83a67ca7bca89,680,lib/multi.c,627,found,exact_hash,same_statement,1,1,,
CVE-2020-8231,curl,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,strong,candidate,07cb27c98e92649e74a312faf976271fa7da609c,680,lib/multi.c,605,found,exact_hash,same_statement,1,1,,
CVE-2022-0185,linux,pre-fix-line:b28ae8cb98ddc3442c651c162b27ed04e9bbf0bcf6f699cfa08714fa7d86eb21,strong,parent,846e56621897a63966b7f03a70be29060394c363,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2022-0185,linux,pre-fix-line:b28ae8cb98ddc3442c651c162b27ed04e9bbf0bcf6f699cfa08714fa7d86eb21,strong,candidate,3e1aeb00e6d132efc151dacc062b38269bc9eccc,551,fs/fs_context.c,429,found,exact_hash,introduced_in_candidate,1,1,,
CVE-2022-0322,linux,pre-fix-line:f14a25fb1b360c1ba225183da1499b5f60aa4dce90ea9637a4bb3ba375d13817,strong,parent,b16ed2b1d0eee0425037a159e5d99fa4b6535921,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2022-0322,linux,pre-fix-line:f14a25fb1b360c1ba225183da1499b5f60aa4dce90ea9637a4bb3ba375d13817,strong,candidate,cc16f00f6529aa2378f2b949a6f68e9dc6dec363,3700,net/sctp/sm_make_chunk.c,3612,found,exact_hash,introduced_in_candidate,1,1,,
