cve_id,backend_type,parse_status,contract_ok,case_disposition,candidate_count,judged_count,excluded_count,prompt_bytes,raw_response_bytes,session_id,taxonomy
CVE-2020-25663,opencode,fenced_json,True,ranked,2,2,0,6396,3792,ses_12029693dffeV6qmM0dIq5h2Va,{}
CVE-2020-11984,opencode,fenced_json,True,ranked,3,3,0,11822,5684,ses_12028f542ffev5pwlyMHYwVCr1,{}
CVE-2020-8231,opencode,fenced_json,True,ranked,2,2,0,12849,2976,ses_1202838e8ffe701MVdNhMg11qH,{}
