cve_id,backend_type,parse_status,contract_ok,case_disposition,candidate_count,judged_count,excluded_count,prompt_bytes,raw_response_bytes,session_id,taxonomy
CVE-2020-1967,opencode,fenced_json,True,ranked,1,1,,4656,2658,ses_12999938cffetEFXSQDTA2vYt3,{}
CVE-2020-8231,opencode,fenced_json,True,ranked,2,2,,7343,3867,ses_129993d5fffegQufFV23hxT4eV,{}
CVE-2020-11984,opencode,fenced_json,True,ranked,3,3,,9706,6157,ses_12998cd09ffeqX8Enu1Jw8i8Wk,{}
