cve_id,anchor_id,candidate_id,root_cause_binding_correct,parent_line_exists,line_role_correct,minimal_anchor,blame_worthy,context_only_noise,fix_family_covered,notes
CVE-2020-15389,pre-fix-anchor:adef2189b12a57848f27c3ba2813a76a17169f08c6d0fd6ee8ca211aead69360,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,,,,,,,,
CVE-2020-15389,pre-fix-anchor:5a69cf430f475617e85a61fdfdd2ea7a8c6cf994347971edee96c7e30fce0b96,pre-fix-line:c6fbd71247569a8f1e42e0cd70e9b25e52011be7e3df19c2790a39eef629457f,,,,,,,,
CVE-2020-15389,pre-fix-anchor:c13a62bb6e5df19e87c8809cb55e917c79e4aa2a9c8c52d0600e5d7fdfbd9b80,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,,,,,,,,
CVE-2020-15389,pre-fix-anchor:68363d8a3a2a41f658c70ac6f5b85b6a1758bafea83babf1a0e6b4de9175d0b9,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,,,,,,,,
CVE-2020-27823,pre-fix-anchor:3f85864b9d6dd924b28f82b403ec05ebd754efb8bc4f1c3fcf463e0a33bc7590,pre-fix-line:94c5ff5802ffee8dbf9687d015116fd1e87645d8320470c129fe1b88ea28e3d0,,,,,,,,
CVE-2020-27823,pre-fix-anchor:7df359beb436acd4883c9b68f7a15f37169ef586b8a092970c9f5ba3fb066bab,pre-fix-line:48590a19b78472c3364a2aca591007abb632fac4bf23a30272d3b9b0b7b4390f,,,,,,,,
CVE-2020-1967,pre-fix-anchor:6dffa6d98a1ed4ce7af26cdbe861710b69c98e164370481bce8486061c438503,pre-fix-line:e5ecd537cb332ded9cf6af2e2da76689c6d7230c05b896ee3dd7ad5d25ee50af,,,,,,,,
CVE-2020-1971,pre-fix-anchor:8ab6349160f9ec8caef40d6f03aabb244603695f430d660be2d709319d561519,pre-fix-line:00bd2de62bd82111b8d9aa564f281a299d0489ab347831ee2332113017a36302,,,,,,,,
CVE-2020-1971,pre-fix-anchor:7066f25681299363e1f9bf96b63e16fcdc2dd73351137eb868a85b7692cb6702,pre-fix-line:20ca38752d54921dfd9d5b667710c73e0a360bf310b87cc5cacc4b2dac31dfee,,,,,,,,
CVE-2020-1971,pre-fix-anchor:155bf64141cb61210a24f1f58d7695c05c00ac48a71fd33d31e6dcfc0783d821,pre-fix-line:ae1b9ceff538b45144b8650691ed312803616a76504a6faf906a6eeb43bde6f6,,,,,,,,
CVE-2021-23840,pre-fix-anchor:677a94a2e183efa27af792d8006b3cd3cdeec0c2a5506a2afac5c6ded07b3bef,pre-fix-line:debd1476a8733e471f1ac18a39b3bc3d857b18e3e3a4498fca42bb40cc9b5b96,,,,,,,,
CVE-2021-23840,pre-fix-anchor:eee9c385eee9f1c6dd794c12da9f730ac222b816a9ee334553abb1f2fc3c47ee,pre-fix-line:ebba0450a4420aa94dd1a116f5b2cf4d4a68f8679d99fd59bd2521815f52fa69,,,,,,,,
CVE-2020-10702,pre-fix-anchor:b1b11fd07476c7d5cfd08d0dc04b077d636e198b594727ee8cc8e48baa0d7a22,pre-fix-line:d9efb639c765ba9e47babe00e87ce06350f7fda86896d01fdce0e17914c77c10,,,,,,,,
CVE-2020-10702,pre-fix-anchor:23c1c3655a63db73a4088f8883cdcd21538a62d56947af57b0946380037df2f8,pre-fix-line:e41c47b09900310f3000b09c1a35e48da5a8688fe6243afd086d02ae4af814b7,,,,,,,,
CVE-2020-11869,pre-fix-anchor:05bb2e3440485b5128c94f619bdb0d51bc5ab69a0bd866d6653c1d6495e56284,pre-fix-line:6b2c18eb92f617badf1106883d8efb9f566217ffbb24ba84a7f0871d3e2dd537,,,,,,,,
CVE-2020-11869,pre-fix-anchor:e0b3ec0845f575f748640d7304d94fb2ba7b3d14c7878d007fa2a062e5c06acd,pre-fix-line:5fd1fd3d1682a5e440f8fd81c8b055b726324cf9a9ccd8c818dd7f70edc60007,,,,,,,,
CVE-2020-11869,pre-fix-anchor:9961ca3a0a79c3dddc740a258b501c295e1b8b53fda3cb3ea0d1f93f9c4bd452,pre-fix-line:c8401b17cc72da4caf175cef6f301f6be4475f2929df123abe8642f843e50966,,,,,,,,
CVE-2020-11947,pre-fix-anchor:64f234d1d5a3f7e82ec9c45b9cb73be47625e90a1dc8ebbb3acbbe95148e2e4d,pre-fix-line:a5bfeb215f013fefc282885b299b7c78ee1272e9f656802059e720a7dab0f7f6,,,,,,,,
CVE-2020-11947,pre-fix-anchor:3f6af5a1a8e94e8176676191d35bdc55ba257e2f7465df3546646036bd26e9fd,pre-fix-line:7a42a2129549b71b7ae52d57c7efa63f5b2429add28c5ea1d2882375aaef5ebe,,,,,,,,
CVE-2020-11647,pre-fix-anchor:2df90c87c12f629aeb909e1c85e55c692a5d2cc63a24fd5410557670895f5a61,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,,,,,,,,
CVE-2020-11647,pre-fix-anchor:eff387822f1aa1468f48757d73d3bc6bcba4f5674c20ba92f96cf93e73af7ca1,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,,,,,,,,
CVE-2020-11647,pre-fix-anchor:43c2a0c569c4f0fbcc464bd26da975d41ba4cf3ee6265bd5c69d23d0e3187295,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,,,,,,,,
CVE-2020-13164,pre-fix-anchor:c48d39ecf211629104ef41622c03482dbff8b625d6131d11322fe9ed71e57e37,pre-fix-line:f3a7dba184c0dac915bd0d6464ac70e5a34d7b8141277682ad010849855faa1c,,,,,,,,
CVE-2020-13164,pre-fix-anchor:dcf59450413f2e4bdbae9675cf02cb9a32b6756f50e85ed5a489094ff4eedaf1,pre-fix-line:d604184189c6253894be94d306986a7ffb1ef262e985c7943e13087e0f8380d4,,,,,,,,
CVE-2020-13164,pre-fix-anchor:6541a97ead5c7495c369874e5886b44762e02527467961aa77d3f2ac81fd358d,pre-fix-line:1bab2ed514c9ecf7c49d4a12e9e85aa5041f7fb63162f0f1f1292b9592711824,,,,,,,,
