cve_id,repo_id,fix_commit_sha,status,reason,parent_count,all_parents_resolve,is_merge,reachable_from_indexed_refs,reachability_basis,containing_ref_count
CVE-2020-20446,FFmpeg,5828700d5c70aaec1f10c417975123c76262bd98,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20446,FFmpeg,ee5387471feca7b50535406d7c0c9b54eff56cbe,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20446,FFmpeg,f5d0848098c7877905a841b796c4e0a0de28620c,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20446,FFmpeg,223b5e8ac9f6461bb13ed365419ec485c5b2b002,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20446,FFmpeg,e56ee5a3e4d5110d2ef718249613591ad9c6a8e0,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20448,FFmpeg,e0983daf05d6c2f53a850619461e74a7392d9bd8,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20448,FFmpeg,ef9340a9dc6e10ab96a111c44520a7016a38f5ad,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20448,FFmpeg,55279d699fa64d8eb1185d8db04ab4ed92e8dea2,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20448,FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20450,FFmpeg,5400e4a50c61e53e1bc50b3e77201649bbe9c510,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20450,FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,0c949b6ebfcee1b23a5fe33a3bc8af167956ea1e,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,a43a89a08918aefa9dfcf7e6d4dae804c6a48577,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,6f6036146d5808f4663d7e6e1b614ea23b8f2592,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,ee92ee3b5a80e3a0c12567efc9761343d0155c21,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,2ce253708826fb41922da963d395160a1522b770,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20451,FFmpeg,21265f42ecb265debe9fec1dbfd0cb7de5a8aefb,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,ff2159658a15dadb4e83980333f9df0215e43315,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,e431babf71b620197bc7f642c0b030598bf99928,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,c21762969e1e66870716d84c3ded81d866ab85b4,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,00446f74ad5d8b89202f5f5234b1720ed3b901a4,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,d6737266a9690975d0e1589295419c6781a4e7ac,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,05cca35df9df1fcbcd41a9fac77ab2fb70a6b9c7,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20453,FFmpeg,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20891,FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20892,FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20896,FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20898,FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-20902,FFmpeg,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,5d9f44da460f781a1604d537d0555b78e29438ba,resolved,,1,True,False,True,commit_node_from_git_log_all,
