cve_id,candidate_commit_sha,risk_flags,confidence_features,suitable_for_judge_v0
CVE-2020-8169,2c5ec339ea67f43ac370ae77636a0f915cc5fbeb,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8169,a97d826f6de35372563ca47087bd53ce837fe21e,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8169,fb723fd9d1d2c1acb46e7980b4b35a5fb4d7c355,add_only_semantic_anchor;candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8177,4dc8499494dc16bf336c1055f2ae4b78c709c87d,add_only_semantic_anchor;candidate_in_fix_series_hint;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;same_file_touch;stable_blame_variants,False
CVE-2020-8177,6b6ba1dc29857f5eb4c31fed3d63619fea99d5f4,,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-8177,c1c27625c797cfb7b21128484b4990446c1e92d9,,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-8231,d021f2e8a0067fc769652f27afec9024c0d02b3d,release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8231,07cb27c98e92649e74a312faf976271fa7da609c,candidate_in_fix_series_hint;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,True
CVE-2021-23840,be06a9348d83187071270a29aabfe10cc3904f85,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2021-23840,fa75ee1aecda0da96216440aa4ea91d4a17e8244,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0171,f922bd9bf33bd5a8c6694927f010f32127810fbf,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2022-0171,8931a454aea03bab21b3b8fcdc94f674eebd1c5d,non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0185,3e1aeb00e6d132efc151dacc062b38269bc9eccc,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0264,37086bfdc737ea6f66bf68dcf16757004d68e1e1,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0286,bdfd2d1fa79acd03e18d1683419572f3682b39fd,add_only_semantic_anchor;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0286,f548a476268d621846bb0146af861bb56250ae37,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2022-0322,cc16f00f6529aa2378f2b949a6f68e9dc6dec363,non_release_tag_noise;release_reachability_too_broad,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,6fdc348006fe2c8f0765f6eecf2e3cbab06c60b5,add_only_semantic_anchor;candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,9330986c03006ab1d33d243b7cfe598a7a3c1baa,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,ad10c381d133d9f786564bff4b223be1372f6c2a,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
